"";"x"
"1";"Alior Bank (ALIOR)"
"2";"Asseco Poland (ASSECOPOL)"
"3";"BZWBK (BZWBK)"
"4";"NG2 (CCC)"
"5";"CD Projekt (CDPROJEKT)"
"6";"Cyfrowy Polsat (CYFRPLSAT)"
"7";"Enea (ENEA)"
"8";"Energa (ENERGA)"
"9";"Eurocash (EUROCASH)"
"10";"Grupa Azoty (GRUPAAZOTY)"
"11";"Globe Trade Centre (GTC)"
"12";"ING Bank Śląski (INGBSK)"
"13";"Jastrzębska Spółka Węglowa (JSW)"
"14";"Kernel Holding (KERNEL)"
"15";"KGHM Polska Miedź (KGHM)"
"16";"FW KRUK (KRUK)"
"17";"Lotos (LOTOS)"
"18";"LPP (LPP)"
"19";"mBank (MBANK)"
"20";"Bank Millennium (MILLENIUM)"
"21";"Orange Polska (ORANGEPL)"
"22";"Bank Pekao (PEKAO)"
"23";"Polska Grupa Energetyczna (PGE)"
"24";"Polskie Górnictwo Naftowe i Gazownictwo (PGNIG)"
"25";"PKN Orlen (PKNORLEN)"
"26";"PKO Bank Polski (PKOBP)"
"27";"PKP Cargo (PKPCARGO)"
"28";"Play (PLAY)"
"29";"PZU SA (PZU)"
"30";"Tauron (TAURONPE)"
